clarity,cut,color,carat,x,price
SI2,Ideal,E,0.23,3.95,326
SI1,Premium,E,0.21,3.89,326
VS1,Good,E,0.23,4.05,327
VS2,Premium,I,0.29,4.2,334
SI2,Good,J,0.31,4.34,335
VVS1,Very Good,I,0.24,3.95,336
SI1,Very Good,H,0.26,4.07,337
VS2,Fair,E,0.22,3.87,337
VS1,Very Good,H,0.23,4.0,338
SI1,Good,J,0.3,4.25,339
VS1,Ideal,J,0.23,3.93,340
SI2,Ideal,J,0.31,4.35,344
SI2,Premium,E,0.2,3.79,345
I1,Premium,E,0.32,4.38,345
SI2,Ideal,I,0.3,4.31,348
SI1,Good,J,0.3,4.23,351
SI1,Good,J,0.3,4.23,351
SI1,Very Good,J,0.3,4.21,351
SI2,Good,I,0.3,4.26,351
VS2,Very Good,E,0.23,3.85,352
VS1,Very Good,H,0.23,3.94,353
SI1,Very Good,J,0.31,4.39,353
SI1,Very Good,J,0.31,4.44,353
VS1,Premium,I,0.24,3.97,355
VS2,Very Good,J,0.3,4.28,357
VS2,Very Good,D,0.23,3.96,357
VS1,Very Good,F,0.23,3.96,357
VS1,Very Good,F,0.23,4.0,402
VS1,Very Good,F,0.23,4.04,402
VS1,Very Good,E,0.23,3.97,402
VS1,Very Good,E,0.23,4.01,402
VS1,Very Good,D,0.23,3.92,402
VS1,Good,F,0.23,4.06,402
VS1,Good,E,0.23,3.83,402
SI1,Good,H,0.31,4.29,402
VS2,Very Good,D,0.26,4.13,403
SI2,Ideal,I,0.33,4.49,403
SI2,Ideal,I,0.33,4.49,403
SI1,Ideal,J,0.33,4.49,403
VS2,Good,D,0.26,3.99,403
VS1,Good,D,0.26,4.19,403
SI2,Good,H,0.32,4.34,403
SI1,Premium,F,0.29,4.24,403
SI2,Very Good,H,0.32,4.35,403
SI2,Good,H,0.32,4.36,403
VS2,Very Good,E,0.25,4.0,404
SI2,Very Good,H,0.29,4.33,404
SI1,Very Good,F,0.24,4.02,404
SI1,Ideal,I,0.32,4.45,404
VS2,Premium,E,0.22,3.93,404
VS2,Premium,D,0.22,3.91,404
SI2,Ideal,I,0.3,4.3,405
SI2,Premium,J,0.3,4.43,405
SI1,Very Good,I,0.3,4.25,405
SI1,Very Good,I,0.3,4.28,405
SI1,Good,I,0.3,4.25,405
VS1,Ideal,I,0.35,4.54,552
SI1,Premium,D,0.3,4.23,552
SI1,Ideal,D,0.3,4.29,552
SI1,Ideal,D,0.3,4.3,552
SI2,Premium,I,0.42,4.78,552
VVS2,Ideal,G,0.28,4.19,553
VVS1,Ideal,I,0.32,4.39,553
SI1,Very Good,G,0.31,4.33,553
SI1,Premium,G,0.31,4.35,553
VVS1,Premium,E,0.24,4.01,553
VVS1,Very Good,D,0.24,3.97,553
SI1,Very Good,H,0.3,4.29,554
SI1,Premium,H,0.3,4.28,554
SI1,Premium,H,0.3,4.29,554
SI1,Good,H,0.3,4.28,554
VVS2,Very Good,F,0.26,4.19,554
VVS2,Very Good,E,0.26,4.15,554
VVS2,Very Good,D,0.26,4.08,554
VVS1,Very Good,E,0.26,4.06,554
VVS1,Very Good,D,0.26,4.03,554
VVS2,Ideal,E,0.26,4.02,554
SI2,Ideal,I,0.38,4.65,554
VVS1,Good,E,0.26,4.22,554
VVS1,Premium,G,0.24,3.95,554
VVS1,Premium,H,0.24,4.01,554
VVS1,Premium,H,0.24,4.02,554
VVS2,Premium,H,0.24,4.07,554
SI1,Premium,I,0.32,4.35,554
SI1,Ideal,E,0.7,5.7,2757
SI2,Fair,E,0.86,6.45,2757
VS2,Ideal,G,0.7,5.7,2757
SI2,Very Good,G,0.78,5.81,2759
VS2,Good,E,0.7,5.85,2759
SI2,Fair,F,0.96,6.27,2759
SI1,Very Good,E,0.73,5.77,2760
